Bo'lim,Yaponcha,O'qilishi (kana),Romaji,O'zbekcha tarjima,English (manba),Misol gap
第２課 楽しいショッピング,おかわり,おかわり,okawari,yana bir marta (qo'shimcha porsiya),"refill, second helping",お気に入りのおかわりを身につけました。 (Sevimli yana bir martaimni kiyib (taqib) oldim.)
第２課 楽しいショッピング,かける,かける,kakeru,"osmoq, ilmoq","hang, attach",毎日しっかりとかけるように努力しています。 (Har kuni astoydil osmoqga intilaman.)
第２課 楽しいショッピング,かける,かける,kakeru,"qo'ymoq, solmoq (ustiga)",put on (something),毎日しっかりとかけるように努力しています。 (Har kuni astoydil qo'ymoqga intilaman.)
第２課 楽しいショッピング,かしこまりました,かしこまりました,kashikomarimashita,"tushundim, marhamat (kamtarona)","""I understand"" (humble language)",かしこまりましたと親しく話をしました。 (tushundim bilan yaqindan suhbatlashdim.)
第２課 楽しいショッピング,ちょうどいい,ちょうどいい,choudoii,"juda mos, ayni muddao",perfect,"とてもちょうどいいので、気をつけてください。 (Juda juda mos bo'lgani uchun, ehtiyot bo'ling.)"
第２課 楽しいショッピング,ちょっと,ちょっと,chotto,"bir oz, sal",a little,ちょっとの大切さを改めて実感しました。 (bir ozning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,とんかつにソースをかける。,とんかつにソースをかける。,tonkatsunisoosuokakeru,Kotletga sous quyaman.,"""put sauce on pork cutlet""",とんかつにソースをかける。 (Kotletga sous quyaman.)
第２課 楽しいショッピング,どういう,どういう,douiu,"qanday, qanaqa",what kind of,毎日しっかりとどういうように努力しています。 (Har kuni astoydil qandayga intilaman.)
第２課 楽しいショッピング,もう,もう,mou,yana; allaqachon,another,毎日しっかりともうように努力しています。 (Har kuni astoydil yanaga intilaman.)
第２課 楽しいショッピング,もう一杯,もういっぱい,mouippai,yana bir piyola/peshta,another drink,もう一杯の大切さを改めて実感しました。 (yana bir piyola/peshtaning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,もっと,もっと,motto,"yana, ko'proq",more,もっとの大切さを改めて実感しました。 (yananing muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,もっと大きいかばんがほしいです。,もっとおおきいかばんがほしいです。,mottoookiikabangahoshiidesu,Kattaroq sumka istayman.,"""I want a larger bag""",もっと大きいかばんがほしいです。 (Kattaroq sumka istayman.)
第２課 楽しいショッピング,カレンダー,カレンダー,karendaa,kalendar,calendar,カレンダーの大切さを改めて実感しました。 (kalendarning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,カレンダーをかける。,カレンダーをかける。,karendaaokakeru,Kalendarni osaman.,hang up a calendar,カレンダーをかける。 (Kalendarni osaman.)
第２課 楽しいショッピング,コート,コート,kooto,palto,coat,コートの大切さを改めて実感しました。 (paltoning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,サイズ,サイズ,saizu,"o'lcham, razmer",size,サイズの大切さを改めて実感しました。 (o'lchamning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,サンドイッチ,サンドイッチ,sandoitchi,sendvich,Sandwich,サンドイッチの大切さを改めて実感しました。 (sendvichning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,ジーンズ,ジーンズ,jiinzu,jinsi shim,jeans,お気に入りのジーンズを身につけました。 (Sevimli jinsi shimimni kiyib (taqib) oldim.)
第２課 楽しいショッピング,スーツケース,スーツケース,suutsukeesu,"jomadon, chamadon",suitcase,スーツケースの大切さを改めて実感しました。 (jomadonning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,セット,セット,setto,"to'plam, set",set,セットの大切さを改めて実感しました。 (to'plamning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,セーター,セーター,seetaa,sviter,sweater,セーターの大切さを改めて実感しました。 (sviterning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,ソース,ソース,soosu,sous,Sauce,ソースの大切さを改めて実感しました。 (sousning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,ソースをかける。,ソースをかける。,soosuokakeru,Sous quyaman.,put on sauce,ソースをかける。 (Sous quyaman.)
第２課 楽しいショッピング,タイムサービス,タイムサービス,taimusaabisu,vaqtinchalik aksiya (chegirma),limited time offer,タイムサービスの大切さを改めて実感しました。 (vaqtinchalik aksiyaning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,デザート,デザート,dezaato,"desert, shirinlik",dessert,新鮮なデザートを美味しくいただきました。 (Yangi desertni mazza qilib tanovul qildik.)
第２課 楽しいショッピング,ヒール,ヒール,hiiru,(baland) poshnali tufli,(high) heels,ヒールの大切さを改めて実感しました。 (ning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,フロアガイド,フロアガイド,furoagaido,qavatlar qo'llanmasi,floor guide,フロアガイドの大切さを改めて実感しました。 (qavatlar qo'llanmasining muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,ボタン,ボタン,botan',tugma,button,ボタンの大切さを改めて実感しました。 (tugmaning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,レディースデー,レディースデー,rediisudee,ayollar kuni (chegirma kuni),Lady's Day,レディースデーの大切さを改めて実感しました。 (ayollar kunining muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,丈夫（な）,じょうぶ（な）,joubuna,"mustahkam, pishiq",sturdy,この方法はとても丈夫だと思います。 (Bu usul juda mustahkam deb hisoblayman.)
第２課 楽しいショッピング,世界地図,せかいちず,sekaichizu,dunyo xaritasi,world map,世界地図の大切さを改めて実感しました。 (dunyo xaritasining muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,両替・する,りょうがえ・する,ryougae-suru,mayda pulga almashtirmoq,exchange for small money,計画通りに両替を行いました。 (Rejaga muvofiq mayda pulga almashtirmoqni amalga oshirdik.)
第２課 楽しいショッピング,割引・する,わりびき・する,waribiki-suru,chegirma qilmoq,"discount tiempo limitado periodo limitado,",計画通りに割引を行いました。 (Rejaga muvofiq chegirma qilmoqni amalga oshirdik.)
第２課 楽しいショッピング,動く,うごく,ugoku,harakatlanmoq,move,毎日しっかりと動くように努力しています。 (Har kuni astoydil harakatlanmoqga intilaman.)
第２課 楽しいショッピング,半額,はんがく,hangaku,yarim narx,half-price,半額の大切さを改めて実感しました。 (yarim narxning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,営業中,えいぎょうちゅう,eigyouchuu,ochiq (ishlayapti),open (for business),営業中の大切さを改めて実感しました。 (ochiqning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,壁,かべ,kabe,devor,wall,壁の大切さを改めて実感しました。 (devorning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,売り場,うりば,uriba,savdo bo'limi,sales section,売り場の大切さを改めて実感しました。 (savdo bo'limining muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,大変,たいへん,taihen',"juda, nihoyatda; qiyin",very,大変の大切さを改めて実感しました。 (judaning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,大盛り,おおもり,oomori,katta porsiya,extra-large helping,大盛りの大切さを改めて実感しました。 (katta porsiyaning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,定休日,ていきゅうび,teikyuubi,doimiy dam olish kuni,regular holiday,定休日の大切さを改めて実感しました。 (doimiy dam olish kunining muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,得（な）,とく（な）,tokuna,"foydali, tejamli","profitable, advantageous",この方法はとても得だと思います。 (Bu usul juda foydali deb hisoblayman.)
第２課 楽しいショッピング,恥ずかしい,はずかしい,hazukashii,"uyatli, xijolatli",embarrassing,"とても恥ずかしいので、気をつけてください。 (Juda uyatli bo'lgani uchun, ehtiyot bo'ling.)"
第２課 楽しいショッピング,意味,いみ,imi,ma'no,meaning,意味の大切さを改めて実感しました。 (ma'noning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,指輪,ゆびわ,yubiwa,uzuk,ring,お気に入りの指輪を身につけました。 (Sevimli uzukimni kiyib (taqib) oldim.)
第２課 楽しいショッピング,数字,すうじ,suuji,raqam,number,数字の大切さを改めて実感しました。 (raqamning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,最新,さいしん,saishin',"eng yangi, so'nggi","latest, newest",最新の大切さを改めて実感しました。 (eng yangining muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,期間限定,きかんげんてい,kikangentei,cheklangan muddatga,limited period,期間限定の大切さを改めて実感しました。 (cheklangan muddatganing muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,本日,ほんじつ,honjitsu,bugun (rasmiy),today,本日の大切さを改めて実感しました。 (bugunning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,棚,たな,tana,"javon, polka",shelf,棚の大切さを改めて実感しました。 (javonning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,注文・する,ちゅうもん・する,chuumon-suru,buyurtma bermoq,order,計画通りに注文を行いました。 (Rejaga muvofiq buyurtma bermoqni amalga oshirdik.)
第２課 楽しいショッピング,牛丼,ぎゅうどん,gyuudon',gyudon (mol go'shtli guruchli taom),gyu-don (bowl of rice topped with seasoned beef),新鮮な牛丼を美味しくいただきました。 (Yangi gyudonni mazza qilib tanovul qildik.)
第２課 楽しいショッピング,特別（な）,とくべつ（な）,tokubetsuna,"alohida, maxsus",Special,この方法はとても特別だと思います。 (Bu usul juda alohida deb hisoblayman.)
第２課 楽しいショッピング,腕時計,うでどけい,udedokei,qo'l soati,wristwatch,お気に入りの腕時計を身につけました。 (Sevimli qo'l soatiimni kiyib (taqib) oldim.)
第２課 楽しいショッピング,親子丼,おやこどん,oyakodon',oyakodon (tovuq va tuxum solingan guruchli taom),oyako-don (bowl of rice topped with boiled chicken and eggs),新鮮な親子丼を美味しくいただきました。 (Yangi oyakodonni mazza qilib tanovul qildik.)
第２課 楽しいショッピング,説明・する,せつめい・する,setsumei-suru,tushuntirmoq,explain,計画通りに説明を行いました。 (Rejaga muvofiq tushuntirmoqni amalga oshirdik.)
第２課 楽しいショッピング,貼る,はる,haru,yopishtirmoq,affix,毎日しっかりと貼るように努力しています。 (Har kuni astoydil yopishtirmoqga intilaman.)
第２課 楽しいショッピング,軽い,かるい,karui,yengil,light (weight),"とても軽いので、気をつけてください。 (Juda yengil bo'lgani uchun, ehtiyot bo'ling.)"
第２課 楽しいショッピング,送料,そうりょう,souryou,yetkazib berish narxi,shipping charges,送料の大切さを改めて実感しました。 (yetkazib berish narxining muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,配達・する,はいたつ・する,haitatsu-suru,yetkazib bermoq,deliver,計画通りに配達を行いました。 (Rejaga muvofiq yetkazib bermoqni amalga oshirdik.)
第２課 楽しいショッピング,重い,おもい,omoi,og'ir,heavy (weight),"とても重いので、気をつけてください。 (Juda og'ir bo'lgani uchun, ehtiyot bo'ling.)"
第２課 楽しいショッピング,量,りょう,ryou,miqdor,amount,量の大切さを改めて実感しました。 (miqdorning muhimligini yana bir bor his qildim.)
第２課 楽しいショッピング,飲み放題,のみほうだい,nomihoudai,cheksiz ichimlik,unlimited drinks,新鮮な飲み放題を美味しくいただきました。 (Yangi cheksiz ichimlikni mazza qilib tanovul qildik.)
第２課 楽しいショッピング,～券（例：割引券）,～けん（れい：わりびきけん,~kenrei：waribikiken',"talon, voucher (masalan: chegirma taloni)","ticket (example: discount ticket, coupon)",割引券を確認しました。 (割引券ni tekshirib tasdiqladim.)
第３課 私の目標,やめる,やめる,yameru,"to'xtatmoq, tashlab qo'ymoq",stop,毎日しっかりとやめるように努力しています。 (Har kuni astoydil to'xtatmoqga intilaman.)
第３課 私の目標,アクセサリー,アクセサリー,akusesarii,"aksessuar, taqinchoq",jewelry,お気に入りのアクセサリーを身につけました。 (Sevimli aksessuarimni kiyib (taqib) oldim.)
第３課 私の目標,カナダ,カナダ,kanada,Kanada,Canada,カナダの大切さを改めて実感しました。 (Kanadaning muhimligini yana bir bor his qildim.)
第３課 私の目標,サークル,サークル,saakuru,"to'garak, klub","club, group",サークルの大切さを改めて実感しました。 (to'garakning muhimligini yana bir bor his qildim.)
第３課 私の目標,スピーチ・する,スピーチ・する,supiichi-suru,nutq so'zlamoq,give a speech,計画通りにスピーチを行いました。 (Rejaga muvofiq nutq so'zlamoqni amalga oshirdik.)
第３課 私の目標,スーツ,スーツ,suutsu,kostyum,business suit,スーツの大切さを改めて実感しました。 (kostyumning muhimligini yana bir bor his qildim.)
第３課 私の目標,デザイナー,デザイナー,dezainaa,dizayner,designer,デザイナーの大切さを改めて実感しました。 (dizaynerning muhimligini yana bir bor his qildim.)
第３課 私の目標,デッサン・する,デッサン・する,dessan-suru,qoralama rasm chizmoq,produce a drawing,計画通りにデッサンを行いました。 (Rejaga muvofiq qoralama rasm chizmoqni amalga oshirdik.)
第３課 私の目標,パティシエ,パティシエ,patishie,qandolatchi,pastry baker (from the French word pâtissier,パティシエの大切さを改めて実感しました。 (qandolatchining muhimligini yana bir bor his qildim.)
第３課 私の目標,ビジネス,ビジネス,bijinesu,biznes,business,ビジネスの大切さを改めて実感しました。 (biznesning muhimligini yana bir bor his qildim.)
第３課 私の目標,一生懸命,いっしょうけんめい,isshoukenmei,"bor kuchi bilan, astoydil",(do) one's very best,一生懸命の大切さを改めて実感しました。 (bor kuchi bilanning muhimligini yana bir bor his qildim.)
第３課 私の目標,予習・する,よしゅう・する,yoshuu-suru,oldindan tayyorlanmoq (darsga),prepare for (a lesson),計画通りに予習を行いました。 (Rejaga muvofiq oldindan tayyorlanmoqni amalga oshirdik.)
第３課 私の目標,事務室,じむしつ,jimushitsu,"idora xonasi, ofis",office,質問があって事務室に行きました。 (Savolim borligi uchun idoraga bordim.)
第３課 私の目標,体験・する,たいけん・する,taiken-suru,"boshdan kechirmoq, sinab ko'rmoq",experience,計画通りに体験を行いました。 (Rejaga muvofiq boshdan kechirmoqni amalga oshirdik.)
第３課 私の目標,受ける,うける,ukeru,qabul qilib olmoq; imtihon topshirmoq,receive,毎日しっかりと受けるように努力しています。 (Har kuni astoydil qabul qilib olmoqga intilaman.)
第３課 私の目標,受験・する,じゅけん・する,juken-suru,imtihon topshirmoq,take an examination,計画通りに受験を行いました。 (Rejaga muvofiq imtihon topshirmoqni amalga oshirdik.)
第３課 私の目標,合格・する,ごうかく・する,goukaku-suru,imtihondan o'tmoq,pass (an examination),計画通りに合格を行いました。 (Rejaga muvofiq imtihondan o'tmoqni amalga oshirdik.)
第３課 私の目標,国へ帰るかどうか迷っている。,くにへかえるかどうかまよっている。,kunihekaerukadoukamayotteiru,Vatanimga qaytish-qaytmaslikni o'ylab ikkilanyapman.,"""wavering whether to return to my country or",国へ帰るかどうか迷っている。 (Vatanimga qaytish-qaytmaslikni o'ylab ikkilanyapman.)
第３課 私の目標,夢,ゆめ,yume,orzu; tush,dream,夢の大切さを改めて実感しました。 (orzuning muhimligini yana bir bor his qildim.)
第３課 私の目標,学部,がくぶ,gakubu,fakultet,academic department,学部の大切さを改めて実感しました。 (fakultetning muhimligini yana bir bor his qildim.)
第３課 私の目標,寮,りょう,ryou,yotoqxona,dormitory,大学の近くの学生寮に住んでいます。 (Universitet yaqinidagi talabalar yotoqxonasida yashayman.)
第３課 私の目標,専攻・する,せんこう・する,senkou-suru,mutaxassislik bo'yicha o'qimoq,"specialize in, major in",計画通りに専攻を行いました。 (Rejaga muvofiq mutaxassislik bo'yicha o'qimoqni amalga oshirdik.)
第３課 私の目標,専門学校,せんもんがっこう,senmongakkou,kasb-hunar kolleji,vocational school,専門学校の大切さを改めて実感しました。 (kasb-hunar kollejining muhimligini yana bir bor his qildim.)
第３課 私の目標,将来,しょうらい,shourai,kelajak,future,将来の大切さを改めて実感しました。 (kelajakning muhimligini yana bir bor his qildim.)
第３課 私の目標,就職・する,しゅうしょく・する,shuushoku-suru,ishga joylashmoq,find a job,就職の場所を地図で調べました。 (ishga joylashmoqning manzilini xaritadan qidirdim.)
第３課 私の目標,建築家,けんちくか,kenchikuka,"arxitektor, me'mor",architect,建築家の大切さを改めて実感しました。 (arxitektorning muhimligini yana bir bor his qildim.)
第３課 私の目標,復習・する,ふくしゅう・する,fukushuu-suru,takrorlamoq (o'tilgan darsni),review (a lesson),計画通りに復習を行いました。 (Rejaga muvofiq takrorlamoqni amalga oshirdik.)
第３課 私の目標,悩む,なやむ,nayamu,"qayg'urmoq, azoblanmoq","be troubled over, be worried about",毎日しっかりと悩むように努力しています。 (Har kuni astoydil qayg'urmoqga intilaman.)
第３課 私の目標,悲しい,かなしい,kanashii,"g'amgin, xafa",sad,"とても悲しいので、気をつけてください。 (Juda g'amgin bo'lgani uchun, ehtiyot bo'ling.)"
第３課 私の目標,日本語能力試験,にほんごのうりょくしけん,nihongonouryokushiken',Yapon tili malaka imtihoni (JLPT),Japanese Language Proficiency Test,日本語能力試験の大切さを改めて実感しました。 (Yapon tili malaka imtihonining muhimligini yana bir bor his qildim.)
第３課 私の目標,書類,しょるい,shorui,hujjatlar,documents,書類の大切さを改めて実感しました。 (hujjatlarning muhimligini yana bir bor his qildim.)
第３課 私の目標,案内・する,あんない・する,annai-suru,"yo'l ko'rsatmoq, tanishtirmoq",guide,計画通りに案内を行いました。 (Rejaga muvofiq yo'l ko'rsatmoqni amalga oshirdik.)
第３課 私の目標,正しい,ただしい,tadashii,"to'g'ri, xatosiz",correct,"とても正しいので、気をつけてください。 (Juda to'g'ri bo'lgani uchun, ehtiyot bo'ling.)"
第３課 私の目標,決める,きめる,kimeru,qaror qilmoq,decide,毎日しっかりと決めるように努力しています。 (Har kuni astoydil qaror qilmoqga intilaman.)
第３課 私の目標,法律,ほうりつ,houritsu,"huquq, qonun",law,法律の大切さを改めて実感しました。 (huquqning muhimligini yana bir bor his qildim.)
第３課 私の目標,留学・する,りゅうがく・する,ryuugaku-suru,chet elda o'qimoq,study abroad,計画通りに留学を行いました。 (Rejaga muvofiq chet elda o'qimoqni amalga oshirdik.)
第３課 私の目標,目標,もくひょう,mokuhyou,maqsad,"goal, target",目標の大切さを改めて実感しました。 (maqsadning muhimligini yana bir bor his qildim.)
